PSID,year,DPROVI,DKABUP,y,CAPITAL,MATERIAL,va,l,k,m,i
38392,2012,33,26.0,15.125468,2115.8352,1007522.3,14.391976,3.7376697,8.8597898,14.084729,0.0
38392,2013,33,26.0,15.854077,1948.1605,2152344.3,15.004417,3.7376697,9.6677656,14.843793,0.0
38392,2014,33,26.0,15.425521,1849.2063,1850743.4,14.765655,3.7376697,9.6296425,14.692822,0.0
38392,2015,33,26.0,15.455946,1867.7355,2593780.3,14.670412,3.7376697,10.049706,15.030352,2.9193466
38416,2011,33,72.0,14.852824,0.0,1691973.8,13.435518,3.6375861,7.7769542,14.38894,0.0
38416,2012,33,72.0,14.800431,0.0,1612863.3,13.481,3.6375861,8.0861025,14.35026,0.0
38425,2011,33,26.0,14.327383,2502.7729,698823.69,13.113366,3.4657359,9.6164722,13.724871,0.0
38425,2012,33,26.0,14.383531,2397.3411,476906.25,13.65004,2.9957323,8.9860716,13.342792,0.0
38429,2011,33,26.0,13.906169,839.37695,503998.91,12.692153,3.0445225,8.9860716,13.303658,0.0
38429,2012,33,26.0,14.383531,804.01733,524113.84,13.65004,2.9957323,8.9860716,13.342792,0.0
38465,2011,33,26.0,15.591683,9812.0078,2710056.5,14.522797,4.1896548,8.1356401,14.854209,0.0
38465,2012,33,26.0,14.383531,9398.667,597830.69,13.65004,2.9957323,6.3750248,13.342792,0.0
38470,2011,33,11.0,16.751799,30527.619,11628424.0,15.262496,5.8998976,11.655241,16.327028,0.0
38470,2012,33,11.0,17.259726,48880.848,17750326.0,16.082207,5.9026332,11.506656,16.720333,9.8175611
38470,2013,33,11.0,17.521679,41150.418,16715188.0,16.524603,5.9889612,11.913774,16.688177,0.0
38470,2014,33,11.0,17.442856,42003.215,23316372.0,16.432499,6.1070228,11.898188,16.987034,6.7485213
38470,2015,33,11.0,17.26524,49837.09,19421586.0,16.476549,6.4520488,11.898188,16.841593,8.9662123
38476,2011,33,13.0,15.058491,3792.0801,2432006.3,13.389224,4.1108737,8.8818359,14.714959,0.0
38476,2012,33,13.0,15.498672,3632.335,1880787.4,14.765181,4.1108737,8.0046997,14.457933,0.0
38476,2013,33,13.0,15.28568,3674.7493,2844407.8,13.573588,4.1108737,8.9618788,14.87162,3.7474856
38476,2014,33,13.0,15.798725,3488.0952,3454789.0,15.138859,4.1108737,8.6013508,15.066027,0.0
38476,2015,33,13.0,14.968124,6797.5952,2457085.8,13.793136,4.1431346,9.2103405,14.724322,8.1045523
38479,2012,33,22.0,16.300596,51751.867,0.0,15.957517,6.8426833,12.255444,13.242056,0.0
38479,2013,33,22.0,17.171026,308.64548,6454114.5,16.510023,7.0475173,12.793859,15.814134,0.0
38479,2014,33,22.0,17.406281,0.0,0.0,17.379721,7.1057863,12.7513,13.60279,0.0
38479,2015,33,22.0,18.149714,106461.41,33363970.0,17.774458,7.0264268,13.273767,17.347979,11.575538
38488,2012,33,22.0,13.267518,10034.325,126014.72,12.341891,3.3672957,9.4572001,12.502403,0.0
38497,2011,33,20.0,13.618265,5096.3188,171761.31,12.862164,2.9957323,6.4248691,12.381912,0.0
38497,2012,33,20.0,14.490477,4863.6968,1656444.0,12.240869,3.4011974,6.5510802,14.332209,0.0
38497,2013,33,20.0,14.652246,20167.559,1577292.6,12.747454,3.4011974,7.7832241,14.294098,9.6358604
38497,2014,33,20.0,13.712556,17446.477,628425.38,12.359217,3.2958369,7.2137685,13.411417,0.0
38497,2015,33,20.0,15.014112,17621.291,2039213.1,14.22858,3.2958369,8.0873327,14.588519,5.1637254
38516,2011,33,10.0,12.750164,827.62152,101530.02,11.975013,3.0445225,6.2146082,11.558258,0.0
38516,2012,33,10.0,13.159822,780.95203,103793.53,12.630129,3.1780539,6.8023949,11.59079,0.0
38516,2013,33,10.0,13.173229,722.40802,128607.41,12.522237,3.1780539,6.5279579,11.791793,0.0
38516,2014,33,10.0,14.865905,685.71429,1336992.6,14.206038,3.1780539,8.3143425,14.133207,0.0
38516,2015,33,10.0,14.89633,692.58514,1873768.4,14.110796,3.1780539,8.73456,14.470736,1.9272878
38519,2011,33,72.0,16.405975,0.0,6218032.5,15.337089,5.0039463,9.7914944,15.668501,0.0
38519,2012,33,72.0,16.391745,0.0,4526543.0,15.658254,5.0039463,9.2256231,15.351006,0.0
38519,2013,33,72.0,15.711138,15756.689,3638330.3,14.38412,3.8501475,8.8536654,15.129717,9.66502
38519,2014,33,72.0,16.691797,14956.35,8338704.0,16.031931,5.0039463,8.9947929,15.9591,0.0
38519,2015,33,72.0,15.315936,0.0,2391793.8,14.78694,2.9957323,8.2427559,14.690983,0.0
38523,2012,33,71.0,13.677808,5039.8647,409956.06,12.699615,3.5553482,8.6656132,12.969296,0.0
38523,2015,33,71.0,13.523027,4448.8979,397481.91,12.924924,3.5553482,8.6827078,12.961147,0.0
38526,2011,33,72.0,13.747,5261.5112,475796.53,12.599515,3.4339871,8.177516,13.087274,0.0
38526,2012,33,72.0,13.755649,5039.8647,469716.31,12.748622,3.4339871,8.2106676,13.075704,0.0
38527,2011,33,72.0,13.909549,5233.0708,480216.72,12.881035,3.713572,9.2301426,13.127008,0.0
38527,2012,33,72.0,15.101371,5012.6221,1221531.6,14.367879,3.713572,9.543808,14.060632,0.0
38527,2013,33,72.0,14.050977,4489.9668,465506.19,13.159741,3.7376697,9.1391668,13.096556,0.0
38527,2014,33,72.0,13.816364,4777.7778,441023.5,13.196092,3.9120231,9.2709646,13.039109,5.6623039
38527,2015,33,72.0,14.166185,0.0,896580.44,13.400934,3.871201,8.3064718,13.727847,0.0
38564,2015,33,2.0,17.280748,37061.781,15953673.0,16.617889,5.7620516,14.403167,16.771048,0.0
39280,2012,35,25.0,14.383531,1044.2963,0.0,13.65004,2.9957323,10.153624,13.342792,0.0
39280,2013,35,25.0,15.11214,961.53845,0.0,14.262481,2.9957323,10.961659,14.101855,0.0
39280,2014,35,25.0,14.683583,912.69843,0.0,14.023717,2.9957323,10.923561,13.950886,0.0
39280,2015,35,25.0,14.714008,921.84369,0.0,13.928474,2.9957323,11.343642,14.288414,2.2132361
39302,2011,35,71.0,15.511519,3786.2593,2723397.3,14.31998,5.209486,10.643137,14.890462,0.0
39302,2012,35,71.0,15.96068,12341.112,5298660.0,14.63702,5.1119876,10.499573,15.512869,9.0542545
39302,2013,35,71.0,16.053833,1606.3545,5131411.5,14.702379,4.9836068,11.169068,15.48608,0.0
39302,2014,35,71.0,15.780808,0.0,3998780.5,14.894823,4.6347289,11.364136,15.245613,0.0
39302,2015,35,71.0,15.049704,210.02806,1069537.8,14.79903,4.6634393,11.228571,14.049481,5.3472409
39305,2011,35,73.0,14.690178,6280.6328,1169030.8,13.554336,3.6375861,9.529521,14.019682,0.0
39305,2012,35,73.0,15.259,6016.0547,1425829.0,14.525508,3.871201,8.8205519,14.21826,0.0
39305,2013,35,73.0,14.694351,0.0,1098115.6,13.590339,3.8918202,9.3701611,13.959302,0.0
39305,2014,35,73.0,14.457402,0.0,1027336.1,13.610491,3.8918202,9.7562628,13.893656,0.0
39305,2015,35,73.0,15.610096,0.0,3735252.3,14.824563,3.8918202,10.031045,15.184503,0.0
39310,2011,35,4.0,15.496373,2516.9932,2522189.8,14.427486,4.0943446,10.031045,14.758899,0.0
39310,2012,35,4.0,14.383531,2410.9624,612026.0,13.65004,2.9957323,10.031045,13.342792,0.0
39311,2011,35,4.0,14.493071,3071.585,926328.81,13.424185,3.0910425,7.3645473,13.755597,0.0
39311,2012,35,4.0,14.383531,2942.1914,613035.88,13.65004,2.9957323,6.7031879,13.342792,0.0
39317,2011,35,4.0,15.706094,5214.1104,2957144.3,14.637207,4.3040652,9.2091398,14.968619,0.0
39317,2012,35,4.0,14.383531,4994.4604,581814.38,13.65004,2.9957323,7.3349819,13.342792,0.0
39327,2011,35,14.0,16.959827,29578.225,11477473.0,15.843118,5.3082676,11.472103,16.271097,0.0
39327,2012,35,14.0,16.696066,28332.213,6200415.0,15.962575,5.3082676,9.9487,15.655327,0.0
39327,2013,35,14.0,17.424675,26086.957,13245792.0,16.575016,5.3082676,10.756732,16.414391,0.0
39327,2014,35,14.0,16.996119,24761.904,11389708.0,16.336252,5.3082676,10.718631,16.26342,0.0
39327,2015,35,14.0,17.026545,25010.02,15962446.0,16.241011,5.3082676,11.138712,16.60095,5.5138931
39329,2011,35,25.0,14.473338,3460.2732,1138491.8,13.091243,3.7841897,6.3969297,13.988659,0.0
39329,2012,35,25.0,15.171988,3314.5056,1312974.0,14.438497,3.7841897,5.9188938,14.131249,0.0
39329,2013,35,25.0,15.900597,3051.8396,2804873.3,15.050938,3.7841897,6.7274318,14.890313,0.0
39329,2014,35,25.0,15.472041,2896.8254,2411837.0,14.812174,3.7841897,6.689599,14.739343,0.0
39329,2015,35,25.0,15.502465,2925.8518,3380140.3,14.716932,3.7841897,7.1098795,15.076872,3.3682046
39671,2014,51,71.0,15.845474,25456.35,2719771.0,15.344525,3.6888795,9.392662,14.907176,0.0
39705,2011,51,3.0,14.891255,56644.434,854750.38,14.015576,3.713572,9.9112577,13.895052,0.0
39710,2011,51,3.0,16.130579,1422.03,70426.797,15.701221,4.8441873,8.2940493,12.224941,0.0
39710,2012,51,3.0,15.255013,0.0,65359.043,14.909212,4.7874918,9.9602461,12.249872,0.0
39710,2013,51,3.0,15.549885,0.0,710030.44,15.026347,4.7874918,11.264464,13.75438,0.0
39710,2014,51,3.0,14.915809,0.0,127566.41,14.795369,4.7184987,11.0021,12.706976,0.0
39710,2015,51,3.0,14.66039,0.0,239487.06,14.670305,4.6151204,11.0021,12.843717,0.0
39738,2011,51,71.0,13.880717,0.0,257874.72,13.088788,3.9702919,10.191145,12.725726,0.0
